title,location,description,tags,ML?,ML task,innovation data task,validation task?,update record?,,,,,,,,,,,,,,,,,,
Patent Citation Similarity,https://storage.googleapis.com/jmk_public/Kuhn-Younge-Marco_Patent_Citation_Similarity_2017-10-23.csv,"Many studies of innovation rely on patent citations to measure intellectual lineage and impact. To create this dataset, we use a vector space model of patent similarity to compute the technological similarity between each pair of citing-cited patents. The VSM model analyzes the full text of each document to position it as a vector in a vector space that includes more than 700,000 dimensions and then calculates the angular distance between the two vectors. The dataset includes similarity values for all citations made by patents issued between 1976 and 2017 to issued patents or published patent applications.","similarity, citation",,similarity,patent similarity,,,,,,,,,,,,,,,,,,,,
Patent Scope and Examiner Toughness,https://storage.googleapis.com/jmk_public/Kuhn-Thompson_Patent_Scope_2017-10-23.csv,"This dataset includes an easy-to-use measure of patent scope that is grounded both in patent law and in the practices of patent attorneys. Our measure counts the number of words in the patents’ first claim. The longer the first claim, the less scope a patent has. This is because a longer claim has more details – and all those details must be met for another invention to be infringing. Hence, the more details there are in the patent, the greater are the opportunities for others to invent around it. We validate our measure by showing both that patent attorneys’ subjective assessments of scope agree with our estimates, and that the behavior of patenters is consistent with it. To facilitate drawing causal inferences with our measure, we show how it can be used to create an instrumental variable, patent examiner Scope Toughness, which we also validate.","Examiners, patent scope, legal, assessment",,,scope estimation,,,,,,,,,,,,,,,,,,,,
Patent Citation Timing and Source,https://storage.googleapis.com/jmk_public/Kuhn-Younge-Marco_Patent_Citation_Source_and_Timing_2017-09-25.csv,"Innovation studies frequently distinguish between patent citation submitted by the patent examiner and those submitted by the patent application. However, publicly available citations data is often misleading, for instance by attributing a patent citation to the patent examiner when it was in fact first submitted by the patent application. This dataset uses internal USPTO data to identify the date on which each citation was first submitted as well as the party (examiner or applicant) who first submitted it. The dataset includes observations for citations made by patents issued 2001-2014, although some level of leftward truncation is evident due to limitations in internal data availability at the USPTO.","timing, citation, United States",,,citation provenance,,,,,,,,,,,,,,,,,,,,
Patent Families Dataset,https://storage.googleapis.com/jmk_public/Younge-Kuhn_Patent_Families_2017-09-25.csv,"Patent applicants frequently file groups of patent applications linked together by priority claims. These priority claims create families of patent applications that share features such as inventors, priority dates, and technical descriptions. By analyzing these linkages, each patent can be assigned a family identifier that it shares with other patents in the same family. This data set includes two levels of family identifiers (clone for near copies, and extended for more attenuated linkages) for each patent issued 2005-2014","patent family, similarity",,,patent family analysis,,,,,,,,,,,,,,,,,,,,
Patent-to-article intext citations for 244 journals,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/ZEZWBX,"The data contains all articles in 244 journals as described in ""In-Text Patent Citations: A User's Guide"", and all front-page and in-text citations as found by the algorithm described in this paper. ","in-text, scholarly literature, citation, academic science, diffusion",,,citation extraction,,,,,,,,,,,,,,,,,,,,
Patent value,https://iu.box.com/patents,"The data contains all articles in 244 journals as described in ""In-Text Patent Citations: A User's Guide"", and all front-page and in-text citations as found by the algorithm described in this paper. ","scientific value, economic growth, United States",,,,,,,,,,,,,,,,,,,,,,,
PatentCity,https://mailchi.mp/e0495246a573/patentcity,"PatentCity is a dataset on the location of patentees since the 19th century in Germany, France, Great Britain and the United States of America. Beta available for test! Drop us a mail if you are interested in becoming a beta tester.","location of inventors, geography, Europe, United States",,,geocoding,,,,,,,,,,,,,,,,,,,,
"Patent text: code, data, and new measures",https://zenodo.org/record/3515985,"Different open access data files related to the text of USPTO patent documents, including 1) for each US patent a list of processed, cleaned and stemmed keywords, 2) for each patent a list of the 1,000 most similar patents (based on cosine similarity) from the entire population of US patents, 3) for each US patent the average cosine similarity with all prior patents from the previous 5 years, and the average cosine similarity with all later patents in the following 5 years, 4) each new keyword (unigram), bigram (sequence of two adjacent keywords), trigram, and pairwise keyword combination introduced for the first time in history by a US patent, the number of the patent introducing it for the first time, and the total number of patents from the entire population using these new keywords, bigrams, trigrams, and new keyword combinations.","patent measures, text, natural language processing, novelty, impact, USPTO, technological progress",,,"keyword extraction, patent similarity",,,,,,,,,,,,,,,,,,,,
"Matched inventor ages from patents, based on web scraped sources",https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/YRLSKU,"         
We use information about U.S. residing inventors from patents which include name and location and search for age and date of death information from publicly available online web directories and build a scoring system to indicate the quality of information that we collect. After applying a variety of heuristics and robustness checks, we find 1,508,676 inventor ages. We also find the death dates of 206,589 inventors, though are not as confident in its accuracy.","Inventors, Ages, Gender, Death Dates, Patents, United States",,,"name disambiguation, gender estimation, age estimation",,,,,,,,,,,,,,,,,,,,
Newpaper.com Index,https://elisabethperlman.net/code.html,Index of newspaper.com articles, ,,,,,,,,,,,,,,,,,,,,,,,
Long-Term Productivity database,http://longtermproductivity.com/download.html,"The Long-Term Productivity database was created as a project at the Bank of France in 2013 by Antonin Bergeaud, Gilbert Cette and Remy Lecat. Following the work of Cette, Mairesse and Kocoglu (2009), we extended the database to include 17 countries in the latest version (2016). The latest version of the database includes the following countries -- Australia, Belgium, Canada, Denmark, Germany, Finland, France, Italy, Japan, the Netherlands, Norway, Portugal, Spain, Sweden, Switzerland, United Kingdom, United States. We offer data on Total Factor Productivity per hour worked, Labor productivity per hour worked, capital intensity and GDP per capita. These series cover at least the period 1890 to present annually. In addition, other data corresponding to each of the papers linked to this project are available. This includes age of capital stock, education attainment, electricity production per capita.","productivity, Europe, United States, GDP",,,,,,,,,,,,,,,,,,,,,,,
Collection of Historical Data on the Uses of Petroleum International Network,http://www.longtermproductivity.com/chdupin/," The research project CH.DUPIN (Collection of Historical Data on the Uses of Petroleum International Network) aims at gathering historical data on oil consumption for many countries.

The current dataset contains yearly information on oil consumption, oil consumption per capita and oil consumption per unit of GDP for 16 OECD countries from 1890.","petroleum, oil consumption",,,,,,,,,,,,,,,,,,,,,,,
"Classification Data for ""Classifying Patents Based on their Semantic Content""",https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/ZULMOY,"An open consolidated database from raw data on 4 million patents taken from the US patent office from 1976 onward. To build the pattern network, not only do we look at each patent title, but we also examine their full abstract and extract the relevant keywords accordingly. We refer to this classification as semantic approach in contrast with the more common technological approach which consists in taking the topology when considering US Patent office technological classes. ","United States, patents, similarity",,semantic analysis,classification,,,,,,,,,,,,,,,,,,,,
List of USPTO patents from US universities,https://sites.google.com/site/abergeaudeco/data?authuser=0,"Using cross-state panel and cross-U.S. commuting-zone data to look at the relationship between innovation, top income inequality and social mobility. From the paper ""Innovation and Top Income Inequality"" (Aghion, Akcigit, Bergeaud, Blundell, Hémous). This dataset lists all USPTO patents from 1969 to 2016 whose assignee is a univeristy and give the name and state of this university (originally taken from USPTO and improved).","inequality, geography, social mobility, patents",,,geocoding,,,,,,,,,,,,,,,,,,,,
HistPat International Dataset,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/QT4OJS,"HistPat International provides the geography of historical patents granted to foreign nationals by the United States Patent and Trademark Office (USPTO) from 1836 to 1975. This historical dataset is constructed using digitalized records of original patent documents that are publicly available. HistPat can be used in different disciplines ranging from geography, economics, history, network science, and science and technology studies. Additionally, it can easily be merged with post-1975 USPTO digital patent data to extend it until today. ","Historical Patents, Technological Change, Inventions, Geography, Economics",,,geocoding,,,,,,,,,,,,,,,,,,,,
HistPat Dataset,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/BPC15W,"HistPat provides the geography of historical patents granted by the United States Patent and Trademark Office (USPTO) from 1790 to 1975. This historical dataset is constructed using digitalized records of original patent documents that are publicly available. HistPat can be used in different disciplines ranging from geography, economics, history, network science, and science and technology studies. Additionally, it can easily be merged with post-1975 USPTO digital patent data to extend it until today. (2016-05-23) ","Historical Patents, Technological Change, Inventions, Geography, Economics",,,geocoding,,,,,,,,,,,,,,,,,,,,
BACI,http://www.cepii.fr/CEPII/en/bdd_modele/presentation.asp?id=37,BACI provides disaggregated data on bilateral trade flows for more than 5000 products and 200 countries.,"trade, global",,,,,,,,,,,,,,,,,,,,,,,
Chinese Patent Data Project Dataverse,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/CF1IXO,"         
Matching SIPO patents to Chinese listed firms (""Main Board""). Please refer to the user documentation ""Chinese Patent Database User Documentation: Matching SIPO Patents to Chinese Publicly-Listed Companies and Subsidiaries"" for more details about this dataset. ","China, SIPO, disambiguation, patents, firms",,,"name disambiguation, firm matching",,,,,,,,,,,,,,,,,,,,
GPT Indicators,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/PQGHKA,"This database contains yearly technology-level measures of Growth, Use Complementarity (UC) and Innovation Complementarity (IC) since 1920 for all technological classes in the United States Patent and Trademark Office (USPTO) classification system, as described in the article entitled ""Mapping General Purpose Technologies with Patent Data"". (2020-03-06) ","growth, Use Complementarity, Innovation Complementarity, technology, patents, metrics",,,,,,,,,,,,,,,,,,,,,,,
Imputation of missing applicant country codes in worldwide patent data,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/XNTL0W,"We present a general method for imputing missing information in the Worldwide Patent Statistical Database (PATSTAT) and make the resulting datasets publicly available. The PATSTAT database is the de facto standard for academic research using patent data. Complete information on patents is essential to obtain an accurate picture of technological activities across countries and over time. However, the coverage of the database is far from complete. Our data imputation method exploits detailed institutional knowledge about the international patent system, and we codify it in a SQL algorithm. We provide two datasets related to the imputation of missing country codes and missing technology classification. We also release the algorithm that can be easily adapted to impute other pieces of information that are missing in PATSTAT.","Patents, Location of applicants, PATSTAT, Imputation",,,geocoding,,,,,,,,,,,,,,,,,,,,
Patent Examination Data System,https://ped.uspto.gov/peds/#!/,"PEDS contains the bibliographic, published document and patent term extension data tabs in Public PAIR from 1981 to present. There is also some data dating back to 1935.The data can be accessed by anyone using the web interface or the provided Application Programming Interface (API). PEDS is updated daily and mirrors the data available in the Patent Application Location and Monitoring system (PALM). PEDS provides access to public applications including: published patent applications and patents. PCT applications that have not been published by WIPO. Any applications that have not been released by the USPTO will not be available in PEDS.",patents,,,,,,,,,,,,,,,,,,,,,,,
Indian Patent Advanced Search System,https://ipindiaservices.gov.in/publicsearch,Platform for accessing indian public patents data,"India, patents",,,,,,,,,,,,,,,,,,,,,,,
UK IPO,https://www.gov.uk/government/publications/ipo-patent-data,Snapshots of British patent/SPC applications received and subsequently published by the Intellectual Property Office.,"United Kingdom, patents",,,,,,,,,,,,,,,,,,,,,,,
"Monthly statistics -- Patents, trade marks, and designs",https://www.gov.uk/government/collections/patents-trade-marks-and-designs-monthly-statistics,"These statistics include monthly data for designs, patents, trade marks.","Trademarks, United Kingdom, design",,,,,,,,,,,,,,,,,,,,,,,
Open Sourced Database for CEO Dismissal 1992-2018,https://zenodo.org/record/5348198,"This is a database of qualitatively coded reasons for a CEO’s dismissal, for S&P 1500 Companies. The maintainers of this dataset run a mailing list with a signup [here](https://docs.google.com/forms/d/e/1FAIpQLSfiZZHwyeWYEZ5fOT1_RygH-ComG9ltad5IUUY60Fsw9z3hZg/viewform)","CEO, Dismissal Management, Strategic Management",,,,,,,,,,,,,,,,,,,,,,,
A large-scale COVID-19 Twitter chatter dataset for open scientific research,https://zenodo.org/record/5595136,"Dataset of tweets acquired from the Twitter Stream related to COVID-19 chatter. The first 9 weeks of data (from January 1st, 2020 to March 11th, 2020) contain very low tweet counts as we filtered other data we were collecting for other research purposes, however, one can see the dramatic increase as the awareness for the virus spread. Dedicated data gathering started from March 11th yielding over 4 million tweets a day.

The data collected from the stream captures all languages, but the higher prevalence are: English, Spanish, and French. We release all tweets and retweets on the full dataset, and a cleaned version with no retweets. There are several practical reasons for us to leave the retweets, tracing important tweets and their dissemination is one of them. For NLP tasks we provide the top 1000 frequent terms, the top 1000 bigrams, and the top 1000 trigrams. Some general statistics per day are included for both datasets.","social media, twitter, nlp, covid-19, covid19, twitter, covid, open-source",,,,,,,,,,,,,,,,,,,,,,,
Biospolar Antarctic Literature and Patents,https://osf.io/py6ve/,"Mapping the scientific and patent landscapes for biodiversity based research and innovation from Antarctica and the Southern Ocean. Created under the Biospolar Project, Research Council of Norway","antarctic, krill, biodiversity",,,,,,,,,,,,,,,,,,,,,,,
US Patent Similarity Data,https://zenodo.org/record/3552078,"Pairwise semantic similarity measures for US utility patents. Includes measures for citing/cited patent pairs, 100 most-similar patents for each patent, and doc2vec vectors for each patent.","patents, intellectual property, innovation, similarity, legal, patents",,"similarity, semantic analysis","patent pairs, patent similarity",,,,,,,,,,,,,,,,,,,,
Patstat Register,https://www.epo.org/searching-for-patents/business/patstat.html,"This database contains bibliographic and legal event data on published European and Euro-PCT patent applications.

Like the core PATSTAT database, it is maintained by the EPO, however PATSTAT Register only contains information about patent applications at the European Patent Ofﬁce (EPO). The information in PATSTAT Register is, however, considerably deeper and more detailed.","Europe, patents, legal, citation",,,,,,,,,,,,,,,,,,,,,,,
PATENTSCOPE,https://www.wipo.int/patentscope/en/,"The PATENTSCOPE database provides access to international Patent Cooperation Treaty (PCT) applications in full text format on the day of publication, as well as to patent documents of participating national and regional patent offices.","patents, legal",,,,,,,,,,,,,,,,,,,,,,,
WIPO PATENT REGISTER PORTAL,https://www.wipo.int/patent_register_portal/en/index.html,"The WIPO's Patent Register Portal gives details of the availability of online patent registers by country / jurisdiction, as well as their search functionalities and the type of information they provide.","geography, index, patents",,,,,,,,,,,,,,,,,,,,,,,
EPO worldwide bibliographic data (DOCDB),https://www.epo.org/searching-for-patents/data/bulk-data-sets/docdb.html#tab-1,"DOCDB is the EPO's master documentation database with worldwide coverage. It contains bibliographic data, abstracts, citations and the DOCDB simple patent family, but no full text or images. ","patents, bibliographic data, abstracts",,,,,,,,,,,,,,,,,,,,,,,
European Business Performance Database,https://www.icrios.unibocconi.eu/wps/wcm/connect/Cdr/Icrios/Home/Resources/Databases/EUROPEAN+BUSINESS+PERFORMANCE+database/,"The European Business Performance database describes the performance of the largest enterprises in the twentieth century. It covers eight countries that together consistently account for above 80 per cent of western European GDP: Great Britain, Germany, France, Belgium, Italy, Spain, Sweden, and Finland. Data have been collected for five benchmark years, namely on the eve of WWI (1913), before the Great Depression (1927), at the extremes of the golden age (1954 and 1972), and in 2000.","Europe, GDP, productivity",,,,,,,,,,,,,,,,,,,,,,,
PatentsView Citation data,https://patentsview.org/download/data-download-tables,"Citation to foreign patents from US patents (foreigncitation), citation to US patent applications from US patents (usapplicationcitation), citation to US patents from US patents (uspatentcitation), non-patent citations in patents (otherreference)","United States, citation",,,citation analysis,,,,,,,,,,,,,,,,,,,,
PatentsView Classification data,https://patentsview.org/download/data-download-tables,"CPC classifications, NBER classifications (to 2015), USP classificiations, WIPO technology fields, Lookup tables (CPC, USPC, WIPO, NBER, US gov. organizations), botanic info for plant patents.","United States, classifications, identifiers",,,patent classification,,,,,,,,,,,,,,,,,,,,
Lens Labs,https://www.lens.org/lens/labs/datafacilities,"Links to datasets, APIs, and tools","Global, citation, identifiers, product",,,,,,,,,,,,,,,,,,,,,,,
Dimensions,https://www.dimensions.ai/products/free/,"Dimensions contains more than 100 million publications, ranging from articles published in scholarly journals, books and book chapters, to preprints and conference proceedings. All publications are contextualized with linked data sets, funding, publications, patents, clinical trials, and policy documents. You can also view associated categories, funders, institutions, and researcher profiles.","scholarly literature, patents, funding, clinical trials, academic profiles",,,,,,,,,,,,,,,,,,,,,,,
Google Patents Research Data,https://console.cloud.google.com/marketplace/product/google_patents_public_datasets/google-patents-research-data,"Google Patents Research Data contains the output of much of the data analysis work used in Google Patents (patents.google.com), including machine translations of titles and abstracts from Google Translate, embedding vectors, extracted top terms, similar documents, and forward references.","terms, citation, forward references, similarity",,"semantic analysis, similarity",patent similarity,,,,,,,,,,,,,,,,,,,,
NBER Economic Indicators and Releases,https://back.nber.org/releases/,"Regularly-updated and archived index of economic indicators, including interest rates, stock reserves, home sales, labour statistics and productivity. This page is updated Monday-Friday.","metrics, economy, trade, productivity, growth, indicators",,,,,,,,,,,,,,,,,,,,,,,
